lng,lat,date,city,state,country,shape,duration,comments,year,month,day
-82.80722220000001,37.8144444,2002-01-14 02:47:00,paintsville,ky,us,disk,900.0,Train collision.  ((NUFORC Note:  Subsequent investigation by Center for UFO Studies&#44 suggests possible hoax.  PD)),2002,1,14
-122.675,45.523611100000004,2002-01-14 18:40:00,portland,or,us,triangle,120.0,Red triangles of light that straightend into column.,2002,1,14
-75.1641667,39.9522222,2002-01-15 01:00:00,philadelphia,pa,us,disk,120.0,Pitch BLACK UFO STING RAY SHAPE NO LIGHT OR SOUND,2002,1,15
-82.67944440000001,27.770555600000005,2002-01-15 07:55:00,st. petersburg,fl,us,oval,600.0,St. petersburg fl. Could not belive my eyes for the first time I saw UFO,2002,1,15
-82.5308333,27.336111100000004,2002-01-15 19:35:00,sarasota,fl,us,triangle,360.0,Triangle shape with light at each point.,2002,1,15
-82.0908333,26.975833299999998,2002-01-15 19:40:00,port charlotte,fl,us,formation,300.0,1/16/2001  Formation of 3 objects in souther sky over Florida.  Light beams&#44 light bursts and seperation and departure.,2002,1,15
-122.0797222,37.6688889,2002-01-15 20:48:00,hayward,ca,us,light,300.0,Large bright red light hovers and shoots off before dropping smaller red/orange lights&#44 one drops then moves at a right angle.,2002,1,15
-122.675,45.523611100000004,2002-01-16 22:05:00,portland,or,us,light,120.0,Red&#44 fuzzy ball of light streaking across in front of the mountain.,2002,1,16
-123.0338889,44.9430556,2002-01-17 22:00:00,salem,or,us,triangle,600.0,triangle shape ufo N salem,2002,1,17
-74.32472220000001,41.4019444,2002-01-18 22:30:00,goshen,ny,us,fireball,3.0,orange ball of light moving fast - 1 hour north of NYC - lasted only 1-2 secs before it disappeared - no engine noise &#33,2002,1,18
-121.8047222,38.005,2002-01-18 22:50:00,antioch,ca,us,fireball,120.0,Two orange objects seen one dropping smaller orange lights underneath it.,2002,1,18
-89.1527778,30.3502778,2002-01-19 22:00:00,long beach,ms,us,changing,900.0,saw it as one shape then changed to two moved too quickly to be a plane  and changed direction of flight to abruptly,2002,1,19
-85.9569444,30.253888899999996,2002-01-20 14:20:00,hollywood beach,fl,us,unknown,1200.0,Sightiings of 5 stationary objects&#44 about 30 degrees obove horizon at Hollywood Beach&#44 Florida&#44 on a warm sunny afternoon.,2002,1,20
-149.90027780000003,61.2180556,2002-01-20 20:00:00,anchorage,ak,us,unknown,60.0,A reddish star like object moved very fast across the sky before dissappearing half-way across.,2002,1,20
-115.1363889,36.175,2002-01-20 23:15:00,las vegas,nv,us,changing,50.0,We saw an odd-shaped object with a tilted oval bottom and what appeared to be a triangular sail pointing off to the side.,2002,1,20
-98.97888890000002,32.3880556,2002-01-21 18:00:00,cisco (just before),tx,us,circle,2.0,A red light hovered and vanished in the sky just outside of Cisco&#44 TX at aprox. 6:55 pm.,2002,1,21
-108.3008333,45.89944439999999,2002-01-21 23:00:00,huntley,mt,us,rectangle,3600.0,My friends and I were walking around town when I looked into the sky and saw the 3 rectangle crafts flying through the air one shot a w,2002,1,21
-89.9694444,35.705,2002-01-21 23:00:00,osceola,ar,us,fireball,480.0,Several objects seen in north sky.,2002,1,21
-77.00138890000001,41.241111100000005,2002-01-25 18:05:00,williamsport,pa,us,triangle,600.0,Triangular object seen passing over Lycoming Mall in Williamsport&#44 Pennsylvania,2002,1,25
-87.8383333,36.487777799999996,2002-01-25 20:15:00,dover,tn,us,other,240.0,Dropping lights catch the eye.,2002,1,25
-112.34888889999999,33.4355556,2002-01-25 20:45:00,avondale,az,us,light,4.0,seven or eight white and red lights wink out starting at outer edges till it was gone.,2002,1,25
-118.53555559999998,34.201111100000006,2002-01-25 21:00:00,reseda (san fernando valley),ca,us,unknown,60.0,object moving at great speed&#44 stopping as if at the end of a pendulum&#44 and then swung back&#44 repeating the same movement many times.,2002,1,25
-109.03333329999998,35.9,2002-01-30 01:42:00,navajo,nm,us,triangle,180.39,Four triangle objects hovering over Navajo&#44 New Mexico.,2002,1,30
-124.1561111,40.5983333,2002-01-30 21:50:00,fortuna,ca,us,circle,900.0,Bright orange object once again seen over Fortuna&#44 CA,2002,1,30
-81.3630556,27.2927778,2002-01-30 22:45:00,lake placid,fl,us,light,30.0,Bright object noted in sky&#44 abruptly disappeared without a trace.,2002,1,30
-121.8936111,36.6002778,2002-01-31 06:07:00,monterey,ca,us,unknown,180.0,I saw a craft-like object&#44 huge bright light in the middle&#44 surrounded by blinking red lights&#44 hanging in the sky for 1 1/2 min.,2002,1,31
-84.4569444,39.161944399999996,2002-01-31 21:00:00,cincinnati,oh,us,cross,30.0,On January 31st&#44 2002&#44 my Pinto broke down as I was driving home from work. I got out of the car&#44 unhooked the bungee cord holding my h,2002,1,31
-97.2286111,32.834166700000004,2002-01-31 21:55:00,north richland hills,tx,us,sphere,20.0,ran very very fast and was bright&#44 intill you could not see it in the sky,2002,1,31
-98.6894444,29.5777778,2002-01-31 21:57:00,helotes,tx,us,sphere,30.0,Blue Sphere moving at high rate of speed,2002,1,31
-96.9486111,32.813888899999995,2002-01-31 22:00:00,irving,tx,us,diamond,8.0,as i was driving down i-30 east towards dallas my friend noticed something in the sky&#44as i looked up coming from north to south we noti,2002,1,31
-120.73083329999999,35.18,2002-02-01 07:00:00,avila beach (diablo canyon nucular power plant),ca,us,cigar,360.0,Craft sighted at a nucular power plant,2002,2,1
-76.8661111,39.874444399999994,2002-02-02 00:15:00,spring grove,pa,us,flash,2.0,Flash across the midnight sky.,2002,2,2
-91.4983333,44.8113889,2002-02-02 06:05:00,eau claire,wi,us,circle,180.0,circlure object with very bright lights.,2002,2,2
-73.5583333,44.6286111,2002-02-02 18:10:00,schuyler falls,ny,us,egg,300.0,egg shaped object,2002,2,2
-81.0933333,26.8327778,2002-02-02 21:35:00,moore haven,fl,us,light,1200.0,Several bright glowing objects seen by four witnesses in night sky dimming and reappearing and moving at tremendious speed.,2002,2,2
-88.2072222,40.110555600000005,2002-02-02 23:40:00,urbana,il,us,circle,420.0,approximately 11 bright orange objects sighted travelling SW to NE at 23:40 on 02/02/02 in Urbana&#44 IL.,2002,2,2
-68.7116667,44.4644444,2002-02-03 00:00:00,penobscot,me,us,light,1800.0,A silent craft with three lights hovering.,2002,2,3
-76.6125,39.2902778,2002-02-03 04:00:00,baltimore,md,us,circle,22.0,large round bright object fast moving on camera,2002,2,3
-147.7163889,64.8377778,2002-02-06 00:30:00,fairbanks,ak,us,fireball,300.0,turn around for 1 min with gushing out smoke.,2002,2,6
-147.3494444,64.7511111,2002-02-06 00:35:00,north pole,ak,us,other,30.0,&#39Rocket boosters&#39  over North Pole AK,2002,2,6
-99.7327778,32.4486111,2002-02-07 19:40:00,abilene,tx,us,light,1185.0,I was on my way home when I saw a very large light&#44 to large to have been an airplane from that height.  It passed behind big buildings,2002,2,7
-87.78277779999999,42.726111100000004,2002-02-07 20:00:00,racine,wi,us,triangle,60.0,A triangular shaped aircraft with three lights and a red haze-like glow seen in southern Racine County.,2002,2,7
-101.4783333,32.2502778,2002-02-08 18:00:00,big spring,tx,us,light,1200.0,Multiple lights appeard in sky East of Big Spring Texas.,2002,2,8
-80.8433333,35.226944399999994,2002-02-09 05:55:00,charlotte,nc,us,light,120.0,Bright planet like light that hovered for a minute and then sped away at a tremendous speed.,2002,2,9
-72.5902778,42.101388899999996,2002-02-09 14:00:00,springfield,ma,us,fireball,40.0,Fireball seen by dozens of eyewitnesses,2002,2,9
-70.6677778,41.9583333,2002-02-09 14:00:00,plymouth,ma,us,cylinder,40.0,Cylinder shape and falling from the stratosphere and landing approximately in 40 seconds. It seemed to be the size of an airplane. The,2002,2,9
-104.8197222,41.14,2002-02-09 20:30:00,cheyenne,wy,us,fireball,1.0,Bright ball of light shoots toward ground in Southeastern Wyoming.,2002,2,9
-97.32055559999999,32.7252778,2002-02-10 23:59:00,fort worth,tx,us,fireball,300.0,We saw fireball like objects coming from the earth into the sky.,2002,2,10
-122.675,45.523611100000004,2002-02-11 20:30:00,portland,or,us,disk,30.0,Oregon UFO Review Case:  Disk w/dull reddish glow.,2002,2,11
-122.33083329999998,47.6063889,2002-02-11 22:10:00,seattle,wa,us,fireball,1.0,Falling Object,2002,2,11
-80.8533333,32.8888889,2002-02-12 01:00:00,sniders crossroads,sc,us,unknown,60.0,object above the treeline with no sound,2002,2,12
-116.95055559999999,47.71805560000001,2002-02-12 19:50:00,post falls,id,us,light,1200.0,POST FALLS IDAHO SIGHTING 2/12/02,2002,2,12
-73.9305556,40.771944399999995,2002-02-12 22:12:00,astoria,ny,us,light,20.0,i saw three ufo&#39s that  reminded me of fireflyes moving anyway  at any speed.,2002,2,12
-83.92944440000001,42.6072222,2002-02-13 20:03:00,howell,mi,us,fireball,2.0,At 8:03 pm Tuesday&#44 February 13&#44 2002&#44 I was driving east on Marr Rd. near the intersection of Fischer Rd.&#44 which is about 3 miles nort,2002,2,13
-76.6125,39.2902778,2002-02-13 21:00:00,baltimore county,md,us,light,2.0,Blue ball of light flashed across the sky in Northwestern Baltimore County&#44 Maryland.,2002,2,13
-115.1363889,36.175,2002-02-15 16:06:00,las vegas,nv,us,unknown,5.0,Blue Fireball with sparks,2002,2,15
-93.26361109999999,44.98,2002-02-15 21:05:00,minneapolis,mn,us,light,4.0,Flying from west to east nearly straight up from my location. Three dots in a string apearing to follow each other. Caught my Eye while,2002,2,15
-75.6122222,40.7483333,2002-02-15 23:00:00,slatington,pa,us,circle,420.0,A mysterious light moved slowly and changed color going in a straight line without going up or down an inch.,2002,2,15
-97.1077778,32.735555600000005,2002-02-16 17:50:00,arlington,tx,us,light,120.0,Silver-White stationairy ball that gradually got smaller in size&#44 and dissppeared.,2002,2,16
-89.2555556,42.1269444,2002-02-16 19:56:00,byron,il,us,light,300.0,disapparing lights,2002,2,16
-92.3944444,35.4508333,2002-02-16 20:30:00,bee branch,ar,us,circle,7200.0,SIGHTED A BRIGHT OBJECT DUE SOUTH FROM CENTRAL ARK.AT 8-10 DEG. APPEARED TO ROTATE AND CHANGE COLORS IN SEQ. LIKE SPECTRUM&#44 LASTED  2HR,2002,2,16
-96.7,43.55,2002-02-18 01:00:00,sioux falls,sd,us,triangle,30.0,Grouping of rectangular or triangular objects&#44 hovering&#44 dancing around each other&#44 absolutely silent&#44 then rapid accleration.,2002,2,18
-71.0602778,42.3583333,2002-02-19 08:40:00,boston,ma,us,light,120.0,Bright orb shaped light over Boson,2002,2,19
-93.5525,32.3480556,2002-02-20 21:45:00,elm grove,la,us,triangle,420.0,About an hour and a half after our earlier sighting of 3 oval objects&#44 we observed a &quot;wedge shaped&quot; object&#44 very low altitude&#44 about 1&#44,2002,2,20
-79.4516667,40.486388899999994,2002-02-21 01:07:00,saltsburg,pa,us,triangle,20.0,Immense triangular craft accompanied by vibrational rumbling upon departure.,2002,2,21
-111.89027779999999,40.7608333,2002-02-21 14:13:00,salt lake city,ut,us,sphere,1260.0,Silvery Object Spotted over Salt Lake City during predicted UFO Fly-Over,2002,2,21
